created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 11:48:38 +0000 2023;1734178375361536127;"@_MbakSri_ Hamas bakal impor dr China Hamas pesek maki2 China";0;0;0;0;in;94587308;1734160577801634108;Andrikosasih;https://twitter.com/Andrikosasih/status/1734178375361536127
Mon Dec 11 11:48:35 +0000 2023;1734178359700333032;"Kami selalu bersamamu wahai hamas &amp  yaman.  Salam satu komando....!!!";0;0;0;0;in;1902978360;1734178359700333032;rayhan_yuda_pra;https://twitter.com/rayhan_yuda_pra/status/1734178359700333032
Mon Dec 11 11:47:21 +0000 2023;1734178051066331398;"@towardstruth01 @ed_unwa Amalek = hamas";0;1;0;0;in;1633281838050312193;1734135976245539324;DarkMithras;https://twitter.com/DarkMithras/status/1734178051066331398
Mon Dec 11 11:47:20 +0000 2023;1734178048545824780;"Video yang menampakkan keharmonisan sayap militer Fatah, Saraya Al-Quds dan sayap militer Hamas, Izzuddin Al-Qassam 🔻 https://t.co/12aUjDG08A";13;18;558;1502;in;1339895843042705408;1734178048545824780;Lembayungsyahdu;https://twitter.com/Lembayungsyahdu/status/1734178048545824780
Mon Dec 11 11:46:38 +0000 2023;1734177872561250651;"@Greschinov Maklumin aja bang, mereka kan pasukan Pampers. Lawan Hamas aja kocar-kacir berak sama ngompol😂";0;0;0;1;in;1196355702937116672;1734142812181192797;EvitaOktaviani9;https://twitter.com/EvitaOktaviani9/status/1734177872561250651
Mon Dec 11 11:46:35 +0000 2023;1734177857272955103;"@JMuller237 @Diannto_ @SammiSoh Elu yang tolol.  Lu mau hamas bubar? Lu tau Israel ingin merebut Gaza. Tanpa hamas ya Gaza udah di ambil alih Israel nyet.";0;0;0;0;in;1382366856686702595;1732961744455438379;jokjisung;https://twitter.com/jokjisung/status/1734177857272955103
Mon Dec 11 11:46:24 +0000 2023;1734177810120663491;"@Greschinov fakta ini bisa jadi amunisi perang kita bang😁 terlihat seorang kera jahat yang mentarget toko eh hamas maksudnya https://t.co/JNe1sVd3pq";0;0;0;0;in;1255981256367648769;1734039915325989370;KaruniaIstnain1;https://twitter.com/KaruniaIstnain1/status/1734177810120663491
Mon Dec 11 11:46:21 +0000 2023;1734177797441036617;"Serikali ya Qatar imeonya kuwa mashambulizi ya Israel dhidi ya Gaza yanapunguza uwezekano wa kufikiwa kwa mapatano mapya ya kusitisha vita na Hamas wakati huu ambapo juhudi za kusuluhisha pande zote mbili zikiendelea.  #AzamTVUpdates #Gaza #Hamas  Habari: Ezekiel Kamwaga… https://t.co/QuCSbSU4hn";0;0;0;10;in;1629945110;1734177797441036617;azamtvtz;https://twitter.com/azamtvtz/status/1734177797441036617
Mon Dec 11 11:45:49 +0000 2023;1734177666167689702;"@MANOUCHKYA Hamas";0;1;0;0;in;1326596444;1733876264694403466;krp5975;https://twitter.com/krp5975/status/1734177666167689702
Mon Dec 11 11:43:33 +0000 2023;1734177093477605471;"@DrEvaChaniago Gambarnya sih keren (menyelamatkan balita) 💪 Kenyataannya : balita dijadikan tameng manusia, banyak korban anak2 dan wanita karena HAMAS berlindung di balik tubuh anak2 dan wanita 🤮🤮👎👎👎👎👎👎 Hancur leburkan PALESTINJA dri peta dunia!!!";0;0;0;0;in;1555670116494635008;1734067710647255151;michael021110;https://twitter.com/michael021110/status/1734177093477605471
Mon Dec 11 11:43:26 +0000 2023;1734177064440246295;"Hamas: Hakuna mateka watabaki hai mpaka masharti yatimizwe https://t.co/IhBunDgyQN";0;1;3;8;in;56951263;1734177064440246295;MwananchiNews;https://twitter.com/MwananchiNews/status/1734177064440246295
Mon Dec 11 11:42:48 +0000 2023;1734176906277507309;"@117x613 @ParjumaTombak7 @SoftWarNews Ada yg mposting sebelumnx,  pangkatnx jendral dan telah di dor penembak senyap Hamas?";0;1;0;0;in;769076240;1734161587156774934;kasrun25;https://twitter.com/kasrun25/status/1734176906277507309
Mon Dec 11 11:42:41 +0000 2023;1734176877714223589;"Tapi di sini masih banyak yang pro Hamas CKCKCKCKCK.🤪";0;0;0;0;in;150113278;1734176877714223589;everilung;https://twitter.com/everilung/status/1734176877714223589
Mon Dec 11 11:42:24 +0000 2023;1734176803575492910;"@DiBiss01 7 oktober 2023 HAMAS 🐖🐖🐖";0;0;0;0;in;1664559748241391616;1734175797341045050;Ladysophia1971;https://twitter.com/Ladysophia1971/status/1734176803575492910
Mon Dec 11 11:41:57 +0000 2023;1734176692149891345;"@ibrahimbenli_ Hamas lakajer";0;0;0;1;in;1043191580025397248;1733921043591340325;olemllerhansen2;https://twitter.com/olemllerhansen2/status/1734176692149891345
Mon Dec 11 11:41:54 +0000 2023;1734176678367371668;"@Greschinov Mereka bukan hanya tidak mampu mengalahkan hamas, mereka melakukan ini karena mereka menolak malu dimata dunia  Sedangkan personil, kendaraan lapis baja dan tank mereka dihajar hamas  bahkan beberapa personil yang berpangkatpun gugur https://t.co/r3r5FLarJ1";0;0;0;0;in;1124665305479782400;1734142812181192797;hafid_calm;https://twitter.com/hafid_calm/status/1734176678367371668
Mon Dec 11 11:41:53 +0000 2023;1734176676030923256;"@DrEliDavid Hamas❤️❤️❤️❤️❤️❤️🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸";0;0;0;0;in;1176733122232246272;1733973484752023620;itshamz;https://twitter.com/itshamz/status/1734176676030923256
Mon Dec 11 11:41:53 +0000 2023;1734176674491904103;"@OmJ_JeNggot Pecundang yg nyata nya kalah sok2 merasa menang🤣  Kalo ngaku kalah bilang aja, ga perlu nyuruh org menyerah karena Hamas bukan pecundang";0;0;0;0;in;1235210306940325888;1734125368976810384;Aisyana_dia;https://twitter.com/Aisyana_dia/status/1734176674491904103
Mon Dec 11 11:41:36 +0000 2023;1734176602341400736;"@Ksthenny16 @AsbabulKop51425 Kan sudah di kata utk 2 negara, israel setuju makanya israel merdeka sedangkan palestina tdk terima makanya palestina belum merdeka dan tiba2 hamas muncul bikin tambah rusuh.. gimana mo damai..?";0;0;0;0;in;1690941342447538176;1732755115982094630;LetareEstomihi;https://twitter.com/LetareEstomihi/status/1734176602341400736
Mon Dec 11 11:40:21 +0000 2023;1734176289207271544;"@tanyakanrl Sekolah di jadikan markas HAMAS emang perlu di BOM!!!";0;0;0;0;in;1555670116494635008;1734138801155621098;michael021110;https://twitter.com/michael021110/status/1734176289207271544
Mon Dec 11 11:40:16 +0000 2023;1734176267371479229;"@sharey690 @stairwayto3dom Hamas";0;0;0;0;in;32828369;1733898665142481163;hippocratico1;https://twitter.com/hippocratico1/status/1734176267371479229
Mon Dec 11 11:39:32 +0000 2023;1734176083845452255;"@CypherSmitRowe @Blessedgeniuss Commander wa jesh alaf shoga ndo maan hamas waliwawez mbwa hawa";0;0;0;1;in;1636745378031710210;1734156844967551397;mujahidin770;https://twitter.com/mujahidin770/status/1734176083845452255
Mon Dec 11 11:38:28 +0000 2023;1734175815745560730;"@SamoGlavan Ti pa hamas. 🙏";0;1;0;1;in;312944895;1734122692545032241;Plokhi;https://twitter.com/Plokhi/status/1734175815745560730
Mon Dec 11 11:37:37 +0000 2023;1734175602364825984;"Misteri Identitas Abu Ubaidah, Juru Bicara Al Qassam Hamas https://t.co/YMtUFuZZB3";0;0;0;0;in;1497617587;1734175602364825984;mynewsindo;https://twitter.com/mynewsindo/status/1734175602364825984
Mon Dec 11 11:37:14 +0000 2023;1734175505195385193;"@ada_pohan Itulah sebabnya mereka gencar menyuarakan bahwa Hamas adalah Teroris agar banyak yang membenci Hamas.Namun Allah Maha adil,dunia justru saat ini tersadarkan oleh propaganda &amp  Islamopobhia yang selama ini mereka Terima.Justru  mereka menjadi pendukung Palestina,Alhamdulillah🙏🙏🙏";0;0;0;19;in;1588842390324137984;1734049508873662598;nenglaela93;https://twitter.com/nenglaela93/status/1734175505195385193
Mon Dec 11 11:35:40 +0000 2023;1734175112910569692;"@indriYunia62498 @Kak_Icha_ sipil dan hamas sudah bersatu";0;0;0;0;in;1549247738490998785;1733768594352468265;wargadepok2121;https://twitter.com/wargadepok2121/status/1734175112910569692
Mon Dec 11 11:34:16 +0000 2023;1734174757724299627;"@Avolanza Kyanya salah 1 faktornya karna mereka sering bergerombol, video yg di nembak2in tembok itu aja mereka masuk secara bersamaan. Beda sama Hamas yg lebih sering berpencar2 &amp  masing2 punya target sendiri";0;1;0;1;in;1652992664;1734080187267166657;indahdewiwiwi;https://twitter.com/indahdewiwiwi/status/1734174757724299627
Mon Dec 11 11:33:58 +0000 2023;1734174681895510036;"@SoftWarNews Jika di serang balik,di perlakukan seperti perlakuan kalian terhadap bumi Palestina,pastilah teriakan kalian kencang sekali,menyebut Hamas Teroris.Hamas mengikuti peraturan perang saja,dan kalian yang melanggar,kalian,dan pendukung kalian,menyebut Hamas teroris.Aneh tapi nyata👌";0;1;0;3;in;1588842390324137984;1734136071473254592;nenglaela93;https://twitter.com/nenglaela93/status/1734174681895510036
Mon Dec 11 11:33:38 +0000 2023;1734174599049613443;"@KheyL4_8 Yg ditelanjangi tentara Israel ,,warga sipil dan jurnalis ,.klo berhadapan Hamas ga berani pasti kecing dicelana ... https://t.co/wCocJWtVSv";1;0;2;2;in;4661438448;1733999464023798107;rianmaladi2;https://twitter.com/rianmaladi2/status/1734174599049613443
Mon Dec 11 11:33:14 +0000 2023;1734174499732607271;"kirain hamas itu pasukan jihad berani mati, kog dia yang di uber sana sini 🤣🤣🤣";0;0;0;0;in;1669674798774124544;1734174499732607271;JayadiLaod63054;https://twitter.com/JayadiLaod63054/status/1734174499732607271
Mon Dec 11 11:32:55 +0000 2023;1734174418052792681;"Disini anda bisa melihat bagaimana sistim ini bekerja dengan baik, tidak seperti yang diklaim oleh Hamas https://t.co/2eL7XkKSln";0;1;0;0;in;1139981175173156864;1734172050133254222;jericho_iii;https://twitter.com/jericho_iii/status/1734174418052792681
Mon Dec 11 11:32:12 +0000 2023;1734174237160833113;"@Lembayungsyahdu Krna kegagalan The Great Return (March) dithun 2018 Israel jdi meremehkan usaha apapun dri Hamas smpai dngn kejadian thun 2021.";0;0;0;0;in;1654839077076873220;1733849623406711168;TunggalWar51509;https://twitter.com/TunggalWar51509/status/1734174237160833113
Mon Dec 11 11:31:24 +0000 2023;1734174038002688202;"@IDF Hamas👇 https://t.co/QnLGM9aGD5";0;0;0;0;in;1191928227461304320;1733276418455273787;MohdkhairulIdz1;https://twitter.com/MohdkhairulIdz1/status/1734174038002688202
Mon Dec 11 11:31:14 +0000 2023;1734173994390290612;"@berlianidris Coba ke Gaza aja lihat faktanya, jgn cuma percaya Dari sisi Hamas aja";0;0;0;0;in;4859508591;1734007321460949024;Gunawanpark;https://twitter.com/Gunawanpark/status/1734173994390290612
Mon Dec 11 11:31:08 +0000 2023;1734173970935541931;"@richimedhurst Hamas = ISIS";0;0;0;2;in;96122276;1734017086840594668;petetaylor97;https://twitter.com/petetaylor97/status/1734173970935541931
Mon Dec 11 11:30:40 +0000 2023;1734173851263889458;"@ItsARandomGuest Berarti kapasitas otakmu rendahan....lagian gw ga dukung Hamas, gw dukung hak asasi manusia dan perdamaian, statement kau mencerminkan kapasitas otakmu";0;1;0;0;in;815147552;1733549291195785251;MEMBERSOFPARTY;https://twitter.com/MEMBERSOFPARTY/status/1734173851263889458
Mon Dec 11 11:30:01 +0000 2023;1734173690194194832;"@DrEliDavid Kamu tidak perlu jadi teroris untuk mendukung hamas,cukup jadi muslim 😅🤣😂🤣";0;0;0;0;in;1528767595473944577;1733973484752023620;Lurus36209347;https://twitter.com/Lurus36209347/status/1734173690194194832
Mon Dec 11 11:29:18 +0000 2023;1734173508677329328;"Dirjen WHO Tedros Adhanom Ghebreyesus khawatir akan dampak konflik Israel dan Hamas terhadap kesehatan. Ia melaporkan tingginya penyakit diare dan infeksi saluran pernapasan di Jalur Gaza. 🥺 https://t.co/u0MBp7sbFy";0;1;0;0;in;104446991;1734173508677329328;detikHealth;https://twitter.com/detikHealth/status/1734173508677329328
Mon Dec 11 11:29:05 +0000 2023;1734173452800757817;"@Avolanza Ya Allah mudah2n Hamas menang...";0;0;0;0;in;1679222117320257536;1734130037333557373;AudityaFiq66683;https://twitter.com/AudityaFiq66683/status/1734173452800757817
Mon Dec 11 11:28:33 +0000 2023;1734173320978043342;"@donafsastra @Avolanza Gk lah.. kita cuma lawan Pempers force, mereka yg frustasi gk bisa musnahin hamas, malah bantai rakyat sipil";0;0;0;0;in;1663258432076644353;1734070049714176135;Focabularry;https://twitter.com/Focabularry/status/1734173320978043342
Mon Dec 11 11:28:17 +0000 2023;1734173250840850475;"@LauraTCK @imshin Hamas";0;0;0;0;in;1721726933820743680;1733517680718549197;Lynne04032804;https://twitter.com/Lynne04032804/status/1734173250840850475
